sentiment,review
1," Sweet Gloves: I bought an 80 lb everlast heavy bag and needed some gloves. Most gloves are the big hard to tie ones. I saw these mixed martial art gloves and read a few reviews. Well I ordered them. And I'm so glad I did. Easy to get on, has Velcro wrist wraps and the open fingers are crazy good. They are so fun to wear and don't get hot at all and did I mention the leather. I leave the wrap straps hang sometimes while hitting the bag for added cool effect. All in all. If your looking for a great pair of gloves and don't want to look like some rote-looking old boxer, then do yourself a favor and buy these puppies. You'll be glad you read my review when you do."
1," Even mediocre Roddenberry is good fun: Very good much, this is 2 of 4 attempts by Roddenberry to take similar material change it, and create a series, it didn't take until much later with the series Andromeda. This story is fun, and it is clearly a product of the 70's and is a very interesting response to ""women's lib."" John Saxon is great as always,"
0," Barely worth reading, if at all!: I thought that this was the worst book I have read in a while. While true the Malkavian are hard to figure out and understand, did the book have to be page after page of gibberish? You have to fight to even care what is in this book in the hopes that it makes sence later. It doesnt... Other than a few, VERY few parts that are even understandable it was not worth the paper it was printed on. Oh yea, and those few parts... they dealt with non-Malkavian topics.I read this book hoping to get someting for the series out of it, but if you skipped it, you would not miss anything. I think that the idea that to be Malkavian, you had to write pages that could not be understood was a terrible idea.This is tragic considering how much I LOVED every other book in the series!"
1," A year in the life of an ESL Student: I like this book that it has a lot of idiom and expression.but,it is not easy to me,because I came to US on one year ago.I will read this book again and again."
1," Fighting Against the Odds: She has no father to speak of. Her mother, who works hard but gets nowhere, is skilled at trying to be in charge, but not at being close or understanding. Her older teenage sister, who does pretty much as she pleases, turns into an unwed mother. Only her little sister is close to her.Carol doesn't particularly like her town or her school or herself, but you'll find her open and honest and her story very moving.[Realistic fiction suitable for junior high to high school.]The Creative Teacher: Activities for Language Arts (Grades 4 through 8 and Up)"
0," KONG FAIL: It lasted about an hour: Okay KONG is known for creating some pretty tough, ready to take wear and tear items.This is not one of them.I was looking for a plush like toy my 20 lb dog could play with...they say there's not that much stuffing in it. KONG did not have to pick it up from all over the apt.Said brown bear was stripped and gutted in about an hour.Skip this one."
1, Great headphones Especially for the price!: I was looking for some new headphones b/c the factory ones broke and I found these and for only like $14-$15 I got these they are great! Great sound! Reduces noise as it says.
1," Great album,Very welldone: I love this album because there are so many great songs(in my opinion all of them.) The songs that I like listening to the most are Everywhere,Goodbye to you and All you wanted. I think Michelle is going to have a bright future if she continues and I think she will.Michelle Branch most be one of the best Pop artists."
0, Overrated: Too much hype and overrated. There's nothing else I could say about this movie. Just rent it if you really want to see it. Don't buy it!!
0, Very Dissatified: Bought this to replace an older DVD writer. Easy setup and worked fine for about 3 days. Then problems started. First there were numerous write errors. Then the write speed declined from 4x to 1x or slower. It took 82 minutes to write a 2 GB folder. Then while writing another file it died altogether. No lights were on and it would not open leaving the disk inside. I won't buy a Pacific Digital product again.
0," Could have been a much better ""Haunting"": Blech!!!Let's not mince words here. What could have been a really strong and truly frightening film, because it was based on historical truth, was not to be realized. How many times can one watch the exact same things going on in a film until you turn it off? I don't know, because I was foolish enough to watch to the most ridiculous end!Two stars- because the cinematography saved this film from the bottom. No recommendation in the least."
0," JUNK: I bought one of these for Christmas, after a week it started skipping. fortunately Amazon extended their return policy and I returned it. Unfortunately, I bought another.... AND IT""S DOING THE SAME @*"
0," hoping for the best: im not sure if this will work for me i just put in my order today and i will keep yall posted,Today im on cycle day 3 of AF and i will be taking these pill as soon as AF stop BABY DUST to all :)"
0," High hopes dashed: I had been searching for a quality work glove with ""feel"" for years, thought I found it in these gloves. I was unfortunately let down. Great gloves, great ""feel"", wore out in less than a month."
0," Lightweight - not worth the cost!: This book is more like a ""Win 2000 for Dummies"" book than the in-depth reference I had hoped for. For example, as an example of a ""catastrophic failure"" the author refers to a mouse failure during boot-up. There is little depth to the text, and critical issues such as modem sharing and the like are not even covered. NOT RECOMMENDED."
0," Product did not work for me: I was unable to get a good spine decompression with this product. I am a tall man (6'6""), and I do not think the device works well for tall people. If you are average height, you may have better luck with this product."
0," Very Biased: I was hoping for an even-handed book on the death penalty. Unfortunately this was not it. Eevery defendent is either innocent or railroaded according to the authors. The offenders were made out to be wonderful guys who simply had a bad day. They were either innocent or didn't get a fair trial....the usual liberal arguments. I had little sympathy for the convicts ""counting down the time""The victims got no mercy and neither should these guys."
0," Where is the REAL Cornwell?: I have been a fan of Patricia Cornwell for many years and have watched her writing decline in her most recent books, even the Scarpetta books. But I was not prepared for this book. Try as I might, I couldn't finish it. The intended humor wasn't even humorous to me; rather, it was tiresome. I didn't care for the characters nor for what happened to them. Thank heavens I got the book from the library and didn't waste a dime on it! Don't waste your time or money on this new Cornwell."
0," Underdeveloped Main Character Numerous Mispellings and Punctuations: This book is disappointing. The writer is a gifted storyteller but the typos, run on sentences, and punctuation errors were a huge turn off. The summary is misleading in that one of the main characters, the slave Reinert, is severely underdeveloped. Is this on purpose? Also, the supposed friendship between Reinert and Bart is a joke. With friends like Bart, who needs enemies. Do not read this book if you are looking for a well balanced account of both races during the civil war era. This book leans heavily on the racist sentiments running rampant during that period of American history."
0, Dissappointed: We purchased these to communicate with my nephews who just hiked the rim to rim at the grand canyon...while I' was not expecting to talk to them at the bottom of the canyon they did not work even at the rim until we were practically in shouting distance. This was a major dissappointement.
1," I love this pump...: This pump has work great for me. I don't have any sore breasts and pump plenty of milk. The only thing I don't like is the attachment for the storage cups. The cups don't screw tight and one time while at work the cup came loose and all the milk fell on me...not a good thing...I got a avent bottle and use with the pump now, better..."
0," On/Off Button in terrible location: this little trimmer could be a five star, but poor design places the on off switch in the worst possible place, and anyone that has used these can testify that it gets very frustrating having to turn your trimmer back on because you accidentally keep hitting the on / off button...too bad..."
0," Won't play in our DVD Players!: It only plays on one of our 4 DVD players! Very irritating. We love snow white, but sucks that it only works on one player"
1," What A Bargain!: Why pay more in those fancy cooking stores and sites for a pizza or bread stone when you can get a nice and thick high quality stone for much less.This is the one to get, and if you've been looking around for one, you know that the price can't be beat!"
1, Awsome Story: This is a wonderful story of the beginning rise of the nation of Israel. I would almost rate this movie as good as the Ten Commandments. I found myself in tears at the end of this movie so new watchers beware!
1," If this isn't heaven...: No matter what people may say about her, she can make music!! That's my opinion! Substitute for love: An ok slower song. The video is great! Swim: Really cool! She can express herself! Ray of Light: I get this goooood feeling when I listen to this one!Genious! Candy...: Annoying, maybe? But good, ofcourse Skin: Just good!! Nothing really matters: Look at no. 3 Sky fits heaven:I wish I made that song!!!! Really Shanti...: What's the point?? Interesting?! Frozen: Aaahhh... delicious.. cold..more The power of good-bye: I make such good pictures in my head when I hear it. To have and not to hold: The best since... ever Little star:: I love it!! Nothing less! mer girl: beautiful....This is definetely the best album ever!! You better buy it! It's worth it!! Swear!!"
0," Ms: I have not received the workbook yet, its been more than one month... Please see to the matter, My college is yelling at me everyday."
1," Loved it!: Great story - a book you can pick up, put down, and then return. Trying to get my teenage sons to read it!"
1, Very Good Phone: Had the Motorola before. Piece of junk. Went back to the old reliable Panasonic. Always excellent quality for the money. This phone is no exception.
0," Whirlpool Microwave: [ASIN:B000GZ2GO2 Whirlpool Gold Series GH5184XPS 1.8 Cu. Ft. Over the Range Microwave Oven with 1100 Cooking Watts & Instant Defrost: Stainless Steel]] I purchased this Whirlpool Microwave 2 years ago and it has seen light use during this period. My wife gets home late at night and I use hood lights to dimly illuminate the kitchen. Just recently I awoke to find this Whirlpool Microwave completely dead. No power, no clock, nothing. The bulbs in the hood lighting look as though they became extremely hot before burning out. The ceramic fuse was burnt, too, the main inverter board. Again, this occured when the microwave wasn't being used, when I was asleep. I contacted Whirlpool who refuses to do anything. To repair it will cost $400+ dollars. So I guess I will be buying a new microwave; definitely 'not' any Whirlpool item."
1," Project saver: This book along with Teri Masaschi's book saved a 3 month project. Bob's is technical and Teri's is ""how to"" so they compliment each other. Get both. If you have never finished a large expensive project before, this is mandatory reading. My first piece was a queen bed, Stickley style, out of cherry. Thanks to them it turned out beautiful."
1," Perfect: Expensive, I thought. I'll pass. For a week. But you know how it is. Once you've got it in your head, you can't let it go. Finally, I bought it. (Well, it was hard to get, but I have friends who can get me things from the US).And I love it!The two new classes, the prestige classes... the powers, monsters, and psionic items--you could start an entirely new campaign based only on psionics! Especially with the way they've allowed the psion to follow any of six paths. I prefer the telepath, but the shaper is cool, too.Give it a shot, I did, and I don't regret it."
1," Unmitigated Listening Pleasure: Quoting from the liner notes: ""Gamelan Pacifica is a professional ensemble in residence at the Cornish College of Arts in Seattle. Inspired by the gong/chime orchestras of Java and Bali (collectively known as gamelan), the ensemble performs new and innovative music in an international style ..."" To my western ears, traditional gamelan music is enjoyable, but a little goes a long way. Trance Gong contains music that has more stylistic and sonic variety than traditional gamelan, however, and the net result is an hour of unmitigated pleasure for the listener."
1," Now I can see...: I installed these on my 1996 Toyota 4runner, which has normal halogen headlights.... not HID not Xenon and not projectors... I had a hard time seeing the road and the berms, especially after the plows have scraped off all the lines. These lights really light up the near road and cast a wide beam. Installation was actually fairly easy and everything is included. I mounted mine on the top of my bumper (the bottom would have been my first choice, but there was not enough 'lip' for drilling). These lights work as advertised and are great for my old eyes. Oh, I just hooked them up to a simple switch... working independently of either the high or low beams."
0, Ugly green towel: Based on the reviews and the picture color for Chartreuse Green that's what I ordered. What I received was a dull medium green towel - so ugly a green that i don't know what to compare it to. It wasn't that thick and I have less expensive towels that are a lot softer. This must be either a knock off or 2nd because it's just plain ugly - and I normally love all shades of green. Would have sent it back just too much trouble. Beware that colors in the pictures may be WAY off.
1," 4 starts - good: This is a good one when it comes to time, temperature, and time projection 4 feet to the wall in darkness for sleeping.it done a great job setting day light saving automatic change , and also great job every mid night contacting the atomic clock to keep every second of the time accurate. The projector done a good job of display time and temperature.The LCD doesn't light up blue. The AC power is a little bit hard to remove some time ( too deep in) , that is not a big deal."
1," Title song not my favorite, but rest of album good.: The title song is trite... but the rest of the album has one great piece of music after another. Better than average.JP"
1, Great job: This was a very good book and a must read for anyone who likes the truth and want to understand the world that we live in.
1," Yurt Craft 101, The best starting point.: I have been building Mongolian type yurts for about ten years. I have a library of texts and photos but Paul King's book is one that I constantly return to both as a text and as a simple reminder of why I love the simple thought of this dwelling. Paul has been able to distill the apparent simple design into a plan that will allow most to understand the construction and assembly of a mobile Mongolan home. The plans will allow any one to grow into more elaborate and larger structures should you have the ambition. This is the book that I recommend to anyone looking to build or understand yurt craft."
1," You MUST buy this CD: I had my computer on Spinner.com and I heard this voice, and checked and it was Gillian Welch. I had never heard of her, but immediately jumped to amazon.com and ordered the CD. It arrived about a week ago and I can't stop listening to it. All originals by Welch and her partner David Rawlings, it is one of the best CD's I have bought in years. The music is so sweet and rich it makes me want to cry every time I put it on."
1," Brings back fond memories.: I saw this particular line-up of ASIA in, of all places, Tulsa, Oklahoma, at the Yucatan Liquor Stand. It was in December 1992, almost a month after this show was recorded at the T & C. The recording, although not the best, is better than most of the live stuff I've heard from the ""bootleg"" series of ASIA CDs. Steve Howe was touring with them and as with this show, he didn't come on until later. Me and my friend (both of us YES fans) marveled at the fact that we were not more than 15 feet away from Steve Howe, and most of the ""kids"" in the place didn't even know who he was! While the reviews for this CD are typically mixed, I would recommend it for anyone who happened to catch them during the 92/93 tour. ""Little Rich Boy"" is a particular favorite, which at the time was played live but not available on the domestic release of AQUA."
0," Maybe it's just me, but....: ....I could not get into any of these stories. I don't like reading something and having no idea what is going on.There seemed to be a lot of words, but no action.Disappointed in this book."
1," Laughs'n'Love: For once the USAmericans have succeeded in making a movie in which the subject of homosexuality is nearly treated as something normal. Basicly, though, this gay thing is only an excuse to make a love comedy. The excuse does not really work - but the comedy does!"
1," Good, But Not Great: Having purchased Darwin Wiggett books before, I had a certain level of expectation. While this volume contains many *good* photos, overall it doesn't attain to the same height asDarwin Wiggett Photographs Canada. It also is not as well printed as Photographs Canada, which BTW, has a different publisher from Dances With Light (and apparently from all of his other books as well). Is DWL a nice coffee table book? Decidedly yes. But if you're looking for something really special, a true art book, try his Photographs Canada."
0," DVD quit after 3 months: I have the 26"" model and I've watched two DVD in the 4 months that I've owned the TV. The DVD player is not working. I bought a refurb and it started acting up right after the warranty ended. The television has a great picture and works fine and has alot of features. Save the money and buy a model without the DVD player. I wish I read these reviews prior to buying it."
0, Not good for scratch removal: I bought this product because I read a review from a couple of people that it was able to take scratches from stainless steel appliances. I was not successful in my attempt. I imagine it is good for what it was designed for though.
0," Poor quality DVD: Fine movie, but I was very disappointed in the quality of the DVD. I already owned the VHS version of this movie and it was one of my kids' favorites. I bought the DVD to take advantage of the better sound and to get the widescreen format. Unfortunately, the quality of the print or the equipment used for the DVD transfer was awful. During the climactic scene where the lovers confront the bishop, there is visible dirt that shows up as a dark mark on the bishop's vestments. When I tried to clean my TV screen, I discovered the ""dirt"" was part of the DVD. Although the kids don't seem to mind, it drives me crazy."
1," MOVING SIMPLICITY: With a singular voice to watch, Amy Jo Wood explores her own journey of grief in this deceptive collection of short stories/character sketches/memoirs. Truth literally exudes from each word, and you are transported to a different place and time. The characters explored become real to you, most particularly the author's own voice, which is alternately joyful, passionate, sad, but always insightful and charming. You feel the need to walk these paths yourself to wash in the transcendental footsteps Ms. Wood has luckily left behind."
0," Warning - Description on Amazon.com is vague: Can't attest to the quality of the product, but the description on amazon.com is vague - I was very careful to match the reader to my vehicle (or so I thought) and STILL had to send this back and order a different unit for my '03 Ford with an OBDII system. amazon, as always, was great: gave me an electronic credit so I was able to order the correct unit and get it coming before I even shipped the original back."
1," Nice and strong!: If you are reading this review, rest assured that I spent way too much time researching cough drops and this is most likely the best option in the category (it was #1 for me!).They are much stronger than halls or anything else I've tried and actually seem to suppress a cough. As an added bonus, they last along time because you only want to use them when you really need them. Don't buy them if you are looking for a candy type cough drop, they are not sweet and don't taste that great. They will help with a cough and will clear your sinuses."
1," the Black costume..: here we have the spider-man 3 ""symbiote"" spidey figure..its a well sculpted figure with a cool suction web. the black suit looks stealthy and stylish .i have to say, toy biz did a much better job with the spider -man merchandise. the quality was better , then again as a collector i wouldnt even open these.. but,i wouldnt give these to little Johnny though..he might break it.i see why hasbro wanted to get the spidey license along with the star wars saga .. they now have the rights to 2 of the most successful series ever, theres nothing like a monopoly.lets hope for spider-man 4 they step up the quality .. but ill give hasbro props they did a good job for their first time with spider-man"
1," SWEET!: this is an awesome dvd, for its production and sound quality. but really those elements are secondary to just how awesome this band really is. I don't own many ""LIVE"" anything, becuase most of it is total crap. here we have an obvious exception."
0," Sucks: This pedal is total waste of money. I recommend Taye double bass it's cheap and unbelievably durable!!!! Or some more expensive pedals: Iron Cobra, DW, Pearl. I had a single Ddrum pedal it was good and pretty cheap."
0," great toy, but did not hold up: My husband and I bought this toy for our 21 month old daughter. She adored it. After 1 week the ear quit functioning so we returned it and got another one. That one lasted longer, but not much after a month the ear, purple hand, and yellow foot stopped working.. My husband performed surgery on the puppy and found that the wires came unsoddered ( excuse my spelling) from the reciever this lead to the malfunction.. It is a great toy, my daughter absolutely loved it, but unless it is fixed and the quality of workmanship is increased, I would not reccomend this toy to anyone. Too bad really!"
0," Small and weak: Small, weak, hard to fill, very cheap thin, not good period. do do do do do do do do do do dod od"
1," Interesting and Easy Read-Good Information: I read this book in little less than a week. It is written very well and the author uses actual cases from his practice to illustrate the behavioral problems and solutions he suggests, which not only makes it fun to read the book but makes it easier to relate to your own pets. He does use a lot of pharmalogical solutions, but he always tries to fix the problem without first or get the cat off the meds as soon as possible. I have an agressive dominant cat and a feuding pair and am currently trying his suggestions on fixing the problem. Actually from what the author explained about serotonin increasing drugs I found a natural amino acid that would do the same thing without ""drugging"" my cat. Anyways, overall great read, kind of Chicken Soup for the Soul kind of read, much recommended. Fun to read."
1," A must for all Bonzo fans and fans of English humor.: Not all the the material is excellent, but there is enough here that is truly bizarre, wonderful, anarchistic, clever, witty, silly, and over the top to repay any listener. If you haven't heard of the Bonzos then maybe the History of the Bonzos will do, but if you have then the Cornology is an excellent collection. It also includes some solo contributions from the various band members, specially from Vivian Stanshall, that are not found on regular Bonzo albums."
0," Not good with long-haired pets: This vacuum has lost of great features, but I was disappointed to discover that it's not good for people with long-haired pets. My dog's hair clogs the hose and the canister and it's a pain to get out. Don't get this vacuum if you have a pet with long hair!"
0," Disappointing: This DVD arrived yesterday and I am an avid Film buff and a teacher of Film studies on the high school level. The presentation was dry and boring and the information was minimal. I was disappointed after I viewed it and the ""bonus material"" was stringent at best."
1," Back From Hell Steals The Show: Back From Hell is simply the best movie that I have ever seen, from the amazing acting to the great special effects this movie is a direct hit. If you've got any sense you will buy this movie. Otherwise you'll be mad at yourself for the rest of your life."
1, Good soundtrack!!!... don't skip it!: A soundtrack with amazing tracks that goes from folk to ambient-rock. I'm a HUGE fan of Sigur Rós and Radiohead... and their presence gives a strong feeling in this soundtrack. Bob Dylan's voice sounds gothic and dark. Chemical Brothers gives the beats that makes want to dance and Paul McCartney singing the main theme?!.... IT'S AN AWESOME SOUNDTRACK.... I truly recommend it!
0," All Duds - except one that had 3 lines!: I've always used name/store brand pregnancy tests, but after finding these thought it would be great to be able to get so many so cheap! I was extremely disappointed! All except 1 were duds not even showing a faint line, and some with a control line so faint I could hardly see it.Except for one single test that showed 3 lines!! Yes 3 and anyone who has ever used a pregnancy test knows they are supposed to only have a pregnancy line & a control line - this test had what seemed to be 2 perfectly formed pregnancy lines and one slightly darker control line. Neat I must say, but still why did all the others say negative when only one said positive?? I took at least 8 more after the 3 line test with all negatives....Needless to say I will go back to the brands I trust for future use."
0," 1,000 pages of sales pitch!: Paula Begoun's books have in the past been somewhat informative, but her latest edition is a waste of money. The reviews have not been updated, (there are a lot of products listed that are no longer made or have been reformulated) and the whole thing comes off as a sales pitch for her new line of cosmetics! She's just trying to sell that now on top of just selling her books, a bad combination! The reviews have the feel of ""this is why my products are better than theirs."" Taking the advice of Paula Begoun is now no different than asking Clinique what they think of Lancome! (except they would probably be more tactful!)"
0," Terrible: This product was useless. Once I filled the chamber, level or not, it leaked. When I hit the trigger nothing happened. The little wand in the gun moved but never blew any bubbles just dripped all over the floor. Tried to use the bubbles without the gun and just used a regular bubble wand and that still didn't work. Terrible product. Waist of money. Would never recommend this to anyone!!!!"
0," PROOFREAD!: Just to echo the thoughts of the perceptive reviewers above: please God, never let me screw up as much as David Martin has in this book."
1," Best of Slayers: I honestly believe this is the best of all Slayers BGM soundtracks. This is the music that most reminds me of the series and, I believe, is even used in Slayers Try in some places. I completely conveys the emotions at the end of the series, from some comedy, to sheer doom, to loss and, eventually, a happy ending. All in all, this is easily my favorite of the Slayers soundtracks. Highly recommended for any fan of the series."
0," Razor Review: I am not impressed with this razor. It is fine for thinning back my goatee and moustache, but it does a lousy job of trimming the line on my moustache. The one positive I can mention is that it holds a charge for a long time and isn't as noisy as other trimmers I've had. I would not recommend this to anyone - I prbably should have returned it but I used it and waited too long."
1," Best yet!: Without a doubt, ""Back In Black"" is the best in the A-List series so far. While I was disappointed in ""Tall, Cool One,"" this made up for it!The entire book is full of action, comedy, and terrific character descriptions--making it have an awesome plot. It held my interest the entire time and is my new favorite in this series.In the fifth book, readers get to 'see' Cyn, Scott Spencer, and a new character, Brock. The drama around these three, Cammie, Anna, Sam, Adam, Parker, and Ben (thank God for him!) is incredible.Absolutely perfect!"
0, surface peeling: I have used this griddle for about a year. The surface is now blistering and peeling. I am going to return it directly to the manufacturer and hope that the new one is better performing.
1," 100 Ways to Motivate Yourself: Change your life forever: From the first chapter, this book really drew me in and has given me so much encouragement and information. This guy is brilliant and doesn't over-word things until your bored. Very practical but extremely insightful and helpful. I'm ordering another one for my sister. This is a must read. Thank you Steve Chandler."
1," J-14: I am subscribed to J-14 and it is one of my favorites. My favorite parts of it are the hair section, page 50, and the lyrics page."
0," What a Boring Story...: Each time I opend this book, I had the earge to close my eyes and fall a sleep. I can't stand when men are portraid as door mats and that's what I thought about Adair MacTaran. He has NO head on his shoulders.Whatever. Never again am I reading anything by Margaret Moore!"
0," If I read the word chap one more time....: What a stinker. This book had only a few scant good parts and all the rest were well, not good parts. The parts with Susannah and her litany of personalities just wore me down. I don't want to spend 300 pages in someone's head. The Gunslinger and Eddie had some nice scenes, but that was it. You can't skip this book either, although you could probably skim over it. I will read book 7, I've come this far, but if it reads like this one, it will be tough to get through."
1," Great Buy!!!: Read reviews from others and selected these speakers. I made an excellent choice! I have these hanging outside facing the back yard, they sound awesome and have great bass response as well. Whether you're listening to a baseball game or jamming to your favorite music, you can't go wrong with these speakers! Everyone that has listened to them applaud them!"
1," Magnetic paper dolls: Basically, I like them, but they are a bit heavy. I wish they were vinyl like I recall from childhood."
1," Somebody finally got it right!: A few months ago I went searching for a decent boombox or small sound system for my home office. I couldn't find anything I really liked and settled on a midsize boombox. After a week I was so disgusted that I returned it (sorry, Sony - the tuner was that bad!). I tried this system out in the store and was extremely pleased. It tunes in all the stations I want and then some. The tuner has a great auto station preset feature. The sound is excellent for the size - actually very enjoyable. It doesn't sound 'cheap'. It has good bass and treble (both separate and adjustable). The MUTE button is great to have when the phone rings. A readable backlit display, intelligently designed remote, 3-CD changer (1 gets old fast), tape player and other bells and whistles round out the system. It's beautiful too. All I can say is 'Way to go, Philips!'"
1," One of the best thrillers I've read in a long time: As a great fan of British mysteries, i.e. Rankin, Robinson, James,etc., I was recommended Lost. This is a fantastic read! Intelligentwriting, wonderful twists and turns, and just an all-around wellthought-out thriller. Highly recommend it!"
0," scout/ohaus sclaes: Our school has purchased a number of these scales. None of them have lasted more than 2 years. They are poorly built, and lack any sort of reasonable durability."
1," This is Way Cool: Love this to death. Well worth the money - it's small, compact and easy to use. High ""wow"" factor when pulling out this gadget in front of your friends. Fun to take pics of yourself with friends. I am glad I bought this!"
1," Better than Strap Locks!: I am very glad that I bought this.It is easy to put on.It is difficult to get off, but that's the point!And once you get use to it, it's not so bad.I have had it for months now and I have done various demanding gigs with it. It holds up to everything and I actually feel safer then I do with strap locks."
1, Midland wr300 weather radio: With weather getting more unpredictable every year this radio is must have item in every home. I do recommend this product.
0," What a disappointment: I anxiouslly awaited the realese of Palahniuk's sixth novel, after being enchanted by the first five I expected the same for Diary, well it didn't happen. I never thought I would say this about Chuck Palahniuk's work, but this was awful. It went nowhere for about three quarters of the novel, it seemed like I was rereading the same chapter for 200+ pages. There were no characters in the book that were remotely interesting, nor did I care what happened to them. There isn't much to sumarise because there isn't enough context to eleborate on whats written in the dust-jacket. I'm hoping that his next novel makes up for Diary. To fans of Palahniuk, I'd wait for the paper-back."
1," voltaire: Tis, homers humble opinion that philosophy, Is the greatest thing in the world. It provides us with food for the mind, we can gain nourishment from it for life. And with an abundance of philosophers to pick from we are left with numerous options. Voltaire, is one of those uniquely gifted philosophers we owe it to ourselves, to read."
1," Loved it!: This was a great read, it really captures the struggles teens may face. It takes you back to high school to your own wallflower days."
0," A little out of date: Vancouver is a beautiful city to visit and the people are very nice. I was disappointed that this book was so outdated even the train fare is no longer $1.50. With so many tourist going to Vancouver LP might consider updating this guide more often.And this book list ""Hasting and Main st."" as being a shady area, they should have been more informative and wrote ""traveler should not walk pass these streets.""Description for places where too brief, lacked detail."
